event_id,start,end,duration_h,P_total_mm,I30_mmh,E_total_MJ_ha,EI30_MJ_mm_ha_h
11697,2023-05-02 11:20:00+00:00,2023-05-02 11:30:00+00:00,0.3333333333333333,6.58,13.17,1.68,22.19
12200,2023-05-06 05:20:00+00:00,2023-05-06 05:20:00+00:00,0.16666666666666666,7.08,14.16,1.88,26.57
13217,2023-05-13 12:50:00+00:00,2023-05-13 12:50:00+00:00,0.16666666666666666,13.82,27.63,3.96,109.43
13313,2023-05-14 10:50:00+00:00,2023-05-14 10:50:00+00:00,0.16666666666666666,21.81,43.62,6.32,275.61
15295,2023-05-28 11:10:00+00:00,2023-05-28 17:40:00+00:00,6.666666666666667,43.04,75.96,12.04,914.6
21993,2023-07-14 12:00:00+00:00,2023-07-14 12:10:00+00:00,0.3333333333333333,7.66,15.33,1.95,29.88
22821,2023-07-20 12:10:00+00:00,2023-07-20 12:20:00+00:00,0.3333333333333333,27.02,54.03,7.73,417.44
23934,2023-07-28 17:50:00+00:00,2023-07-28 18:50:00+00:00,1.1666666666666667,37.34,74.67,10.54,787.34
27211,2023-08-21 01:00:00+00:00,2023-08-21 01:30:00+00:00,0.6666666666666666,16.05,32.1,4.05,130.07
29367,2023-09-05 06:50:00+00:00,2023-09-05 07:30:00+00:00,0.8333333333333333,53.85,97.32,15.14,1473.57
30219,2023-09-11 11:30:00+00:00,2023-09-11 11:30:00+00:00,0.16666666666666666,18.21,36.42,5.26,191.74
33182,2023-10-02 07:20:00+00:00,2023-10-02 07:30:00+00:00,0.3333333333333333,11.07,22.14,2.83,62.62
