year,v6_domain_mean,v6_domain_median,v6_domain_p25,v6_domain_p75,v5_domain_mean,delta_mean_pct
2001,537.2489808882361,502.9763641357422,385.46385192871094,634.5286560058594,324.0510653236967,65.79145646429973
2002,285.9281412045355,276.3066864013672,212.07195281982422,348.0358657836914,125.6903063487307,127.48623144510539
2003,333.6165050282747,285.43629455566406,189.90716934204102,445.42078399658203,169.45342488393806,96.87799479814298
2004,419.5781211386683,398.4060516357422,268.5836639404297,519.1671142578125,178.97800449287396,134.42999173419315
2005,268.7922999794734,224.30299377441406,153.72502517700195,342.2544250488281,115.79636895102801,132.1249814777436
2006,371.17600319263113,336.3753662109375,229.09395599365234,484.4030456542969,137.34486839648855,170.25108948454957
2007,693.9525638011382,659.6546020507812,515.2999267578125,829.9521484375,263.4199612997563,163.43962711749901
2008,495.4487789778954,465.0756378173828,349.2903823852539,605.0688629150391,198.65091480077916,149.40674422504705
2009,169.4293729118169,154.1650390625,98.75786590576172,216.5728759765625,48.17215099251061,251.7164366153347
2010,173.4334859397281,135.62648010253906,74.46515846252441,239.42960739135742,83.49583728225703,107.71512878353148
2011,409.65838498066574,383.4331512451172,291.2483367919922,491.1417770385742,198.91427164614055,105.9472060956136
2012,330.39536132905766,312.94410705566406,240.64872360229492,405.93688201904297,147.91701222398754,123.36535626392121
2013,278.6977038674949,249.9622039794922,176.97978973388672,353.58963775634766,110.40829679960143,152.42460208706072
2014,234.0286306460504,219.3619842529297,171.31427383422852,279.3382873535156,90.61446491022274,158.26851251388706
2015,381.3181855218043,349.6538543701172,253.1702766418457,475.20142364501953,166.58580648986518,128.90196563355062
2016,248.4941191451765,232.41292572021484,189.7001609802246,283.89122009277344,94.0564714026043,164.19672717840874
2017,512.9438850757253,468.5978546142578,345.05187225341797,618.9653625488281,241.55273905709785,112.35275040887717
2018,249.01408053726905,201.79332733154297,114.8191089630127,344.6540832519531,104.4695952670207,138.36033814508195
2019,379.12150262795336,355.14756774902344,192.70330047607422,517.7265777587891,172.68826832373938,119.54097189579363
2020,322.7442119850215,296.7946014404297,226.80151748657227,404.31349182128906,159.92692835465039,101.8072974360585
2021,214.71441364987848,195.34061431884766,153.04471969604492,261.10296630859375,99.98230538216663,114.75241326869431
2022,348.04444955438737,298.252197265625,198.15383529663086,441.3084945678711,231.55696196894192,50.30619101017122
2023,160.18621200272037,136.0060577392578,80.76358032226562,217.4557342529297,110.90862036917204,44.430803908228434
2024,340.85518343582714,296.1816101074219,166.66001510620117,470.01966094970703,242.93200764737676,40.308881788269275
