site,season,ground_total_mm,raw_peak_share,wet_slots,gamma_star
aws310,MAM,6.585,0.26722338318896993,6.0,3.5
aws310,MAM,7.08,0.26794258100296947,6.0,3.5
aws310,MAM,21.810000000000002,0.7169811416240979,3.0,3.5
aws310,MAM,5.055,0.5464480924152112,3.0,3.5
aws310,MAM,11.295,0.594594607656241,2.0,3.5
aws310,MAM,26.685,0.41222569823996924,5.0,2.75
aws310,JJA,27.015,0.31914893260464994,5.0,3.5
aws310,JJA,18.765,0.6852458976026953,2.0,2.5
aws310,JJA,16.050000000000004,0.42910446626345594,4.0,3.5
aws310,SON,53.849999999999994,0.43150685239093217,4.0,3.5
aws310,SON,18.21,0.8351648416428187,2.0,3.5
aws310,SON,11.07,0.622439610874092,5.0,1.95
biomet,MAM,9.4,0.3452115813952392,6.0,0.7999999999999999
biomet,MAM,5.1000000000000005,0.6037735849056604,5.0,0.7
biomet,MAM,6.7,0.6009144394191908,5.0,0.7
biomet,JJA,6.2,0.44092570598505926,4.0,1.5499999999999998
biomet,JJA,6.399999999999999,0.3826709469375639,5.0,0.8999999999999999
biomet,JJA,15.999999999999998,1.0,1.0,0.7
biomet,JJA,7.999999999999999,0.5870967707202287,3.0,1.2999999999999998
biomet,JJA,14.600000000000001,0.41132076638752385,5.0,3.5
biomet,JJA,9.799999999999999,0.2959719754193779,6.0,1.6999999999999997
biomet,JJA,6.1000000000000005,0.6618819948950285,3.0,0.7
biomet,JJA,12.0,0.4001820314301951,4.0,0.7
biomet,JJA,6.5,0.5932203384122892,2.0,0.7
biomet,JJA,10.000000000000002,0.2590673592197989,6.0,3.5
biomet,JJA,19.900000000000002,0.39130432998600695,3.0,0.7
biomet,JJA,8.8,0.2559523777318209,6.0,3.5
biomet,JJA,11.0,0.26000988146630494,6.0,1.5999999999999999
