year,method,annual_total_pbias_median,proxy_r_pbias_median,daily_kge_median,wet_csi_median,n_station_years
2001,raw,-6.952832438819015,-51.46668142571092,0.5072394240305893,0.12291122669709549,202
2001,v1,-7.838009912191196,-46.04823887385132,0.5057345598579994,0.12247723337896033,202
2001,v6,6.604233411666012,-38.65387429208187,0.505213669306197,0.125,202
2002,raw,-5.060500429096948,-51.846766710440534,0.5182186671194677,0.11983847190964081,202
2002,v1,-4.866207912402884,-44.78394744432679,0.5232468614301127,0.11942884105513862,202
2002,v6,7.216450635714623,-37.4273384536773,0.5290475602531044,0.12041988276173046,202
2003,raw,-0.5700459764585734,-50.313428971994945,0.5427856404682132,0.11887346467943424,202
2003,v1,-0.20280847246923256,-41.72252736122317,0.5368427509140328,0.11848401598401598,202
2003,v6,7.6015093436357315,-36.787444950903684,0.5330770754064913,0.11983661116523339,202
2004,raw,-1.485877212320964,-50.899694429823825,0.5329345643460881,0.12532152458471824,202
2004,v1,-0.6143684707505854,-41.321990237584785,0.5285661826235584,0.12532152458471824,202
2004,v6,6.911561832068948,-33.644448442229944,0.5236198325420514,0.1255814848026618,202
2005,raw,4.3882942317436555,-53.29715793404936,0.5329162217866197,0.12460330833824809,202
2005,v1,4.454763443252071,-46.410398437312686,0.5565794751916953,0.12461180124223603,202
2005,v6,8.129152363230775,-36.47353831897627,0.5519142723697968,0.12598511986773214,202
2006,raw,2.113190149435729,-48.13583349355145,0.5662198715843063,0.12212498138550737,202
2006,v1,2.916720575086935,-41.16426024899396,0.5750869288966516,0.12173913043478261,202
2006,v6,3.3117869776399034,-26.458083461236317,0.5584959051333159,0.12136684192529248,202
2007,raw,-0.094102366777394,-50.03516431730668,0.5308425495978883,0.12004140786749481,202
2007,v1,1.0301582095145496,-40.76374794422003,0.5372987705208576,0.11953296159792492,202
2007,v6,0.9295629365639715,-27.572837399575832,0.5227686587987377,0.1194539149974817,202
2008,raw,-2.025403791232308,-49.39995240496356,0.5465740081236904,0.11395228080137174,202
2008,v1,-0.7554647654967619,-41.208372716198895,0.5409743836788603,0.11143790849673202,202
2008,v6,-0.3718107039092849,-29.559315679952636,0.5300604126792117,0.11216968378760073,202
2009,raw,0.9291236964298615,-53.15475537901169,0.5363164017813121,0.10579995124725766,202
2009,v1,1.261347398529936,-44.55308705247972,0.5423451614200494,0.10431715085780706,202
2009,v6,-0.5409501089671526,-36.70425230262786,0.5429084866899321,0.10312600708991299,202
2010,raw,0.7032346361614182,-48.531740216836035,0.5363752435700798,0.10716610077914424,202
2010,v1,0.8784314862787304,-37.36712257711021,0.547804656256379,0.1094399055449265,202
2010,v6,-0.004098494749300123,-35.53630949415526,0.5510717538516261,0.10714285714285714,202
2011,raw,-2.5065243747879205,-51.4553357913675,0.546886841728329,0.109186308744362,202
2011,v1,-2.507959119954346,-39.07953503932861,0.561983934380093,0.10853898464565245,202
2011,v6,-2.9988363005200895,-34.291870472558635,0.570560700571465,0.1064825298002827,202
2012,raw,1.999403578689861,-51.45632345453551,0.5547079194613936,0.11597395135031603,202
2012,v1,2.0178858577154717,-43.231187754189804,0.5568067734074261,0.11647516417854357,202
2012,v6,1.5224575229871762,-36.02061001829483,0.5652700044608638,0.11656508227131465,202
2013,raw,1.2810468376751074,-53.275773819685085,0.5575561688660773,0.11407877451818954,202
2013,v1,1.0485362453672036,-43.292128606411026,0.56840838666054,0.1152980682683653,202
2013,v6,-1.3735912292007266,-38.75277956023014,0.5750457751391918,0.11530374295248465,202
2014,raw,1.1014085237325724,-46.69312497525652,0.5380238144037399,0.10916943668511708,202
2014,v1,0.7391848807925641,-37.660474356506796,0.5426114124474124,0.10955215070952509,202
2014,v6,-2.1092530847570172,-35.482252468341585,0.5193815470966818,0.10955451873203541,202
2015,raw,0.5727420276552244,-40.39896541892974,0.5326941855278842,0.11704508147149793,202
2015,v1,2.1543400160275397,-28.79869748513248,0.5198179620207496,0.11717363001538644,202
2015,v6,-0.23846922208364463,-20.808015696471188,0.5206466767147522,0.11548224094167853,202
2016,raw,4.69247217817991,-37.533270403038586,0.5060612747066915,0.11717540672879481,202
2016,v1,7.6557157173127095,-22.015981219633453,0.46448975362757144,0.11855416747713435,202
2016,v6,4.938115467625119,-18.89095521711551,0.4866022969011711,0.11884323139499159,202
2017,raw,1.752202168551418,-38.93250470984449,0.5602706314826322,0.11825511108297994,202
2017,v1,3.231486181845203,-28.96641280285268,0.5211289180911565,0.11755254969200482,202
2017,v6,0.9943188330600982,-22.546286156883923,0.525824171693506,0.11907424473045689,202
2018,raw,-0.5814986612594545,-42.72005155285434,0.5342058315448793,0.11377643201284796,202
2018,v1,1.824139032061967,-31.34878084417152,0.5106167531714818,0.11345055161544523,202
2018,v6,-4.987654312129791,-34.849212488181735,0.5314063283289097,0.11578303573040605,202
2019,raw,1.7278577843797018,-37.303339438586335,0.5309390557017946,0.12025012025012025,202
2019,v1,4.231414724762933,-24.785980480441168,0.5068801157742229,0.1205840283547712,202
2019,v6,-0.20013404903828294,-30.027190390466792,0.542140036625421,0.12235671274287525,202
2020,raw,4.137906389931464,-36.46318329851884,0.5387508776831003,0.11671858546858546,202
2020,v1,5.56259038764013,-24.764041088630407,0.507126245093851,0.11582156611039796,202
2020,v6,-1.4132231229225387,-33.910609396437586,0.5314990677495919,0.11739687198343926,202
2021,raw,-3.0212993547912994,-39.53981033485323,0.5026052946236388,0.11467623075138733,202
2021,v1,-0.3408169557701406,-26.482127337035337,0.49674161450578064,0.11399080202237585,202
2021,v6,-6.577687624606249,-33.11523095848173,0.5206947832091083,0.11804515473484514,202
2022,raw,-0.6777045092663421,-38.93204949404309,0.5443728042470595,0.11368462463509604,202
2022,v1,2.4678364236592203,-29.212464510834522,0.5337373600568178,0.11452538122279554,202
2022,v6,-5.519620593968458,-35.013838822647514,0.5486109926409648,0.11633063594385773,202
2023,raw,0.773422191747718,-36.64512455240903,0.5471778990236449,0.11777370182286567,202
2023,v1,4.970437100038311,-24.09682163799284,0.5264593036601097,0.1167114012954842,202
2023,v6,-1.8538458477291213,-30.56603171248529,0.5570775843039484,0.11775889062849473,202
2024,raw,0.6249105969153979,-37.565062958814345,0.5035838689702079,0.1122911904343239,202
2024,v1,3.5512681435746623,-24.414181975587287,0.4834773353982311,0.11206195829870402,202
2024,v6,-3.511092000887947,-30.738298497899525,0.5118154207515387,0.11164824804902321,202
