year,n_station_models,blend_alpha_median,blend_alpha_mean,output_path
2001,202,0.25,0.25643564356435644,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2001_v6_qm.tif
2002,202,0.25,0.2871287128712871,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2002_v6_qm.tif
2003,202,0.25,0.3400990099009901,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2003_v6_qm.tif
2004,202,0.35,0.40396039603960393,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2004_v6_qm.tif
2005,202,0.65,0.503960396039604,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2005_v6_qm.tif
2006,202,0.65,0.5876237623762377,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2006_v6_qm.tif
2007,202,0.65,0.6123762376237625,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2007_v6_qm.tif
2008,202,0.65,0.6103960396039606,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2008_v6_qm.tif
2009,202,0.65,0.5514851485148515,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2009_v6_qm.tif
2010,202,0.55,0.4985148514851485,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2010_v6_qm.tif
2011,202,0.6000000000000001,0.5282178217821784,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2011_v6_qm.tif
2012,202,0.65,0.5603960396039604,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2012_v6_qm.tif
2013,202,0.65,0.5613861386138614,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2013_v6_qm.tif
2014,202,0.65,0.5693069306930694,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2014_v6_qm.tif
2015,202,0.65,0.5658415841584159,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2015_v6_qm.tif
2016,202,0.65,0.5826732673267327,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2016_v6_qm.tif
2017,202,0.65,0.5777227722772278,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2017_v6_qm.tif
2018,202,0.55,0.4712871287128714,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2018_v6_qm.tif
2019,202,0.45,0.446039603960396,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2019_v6_qm.tif
2020,202,0.35,0.43960396039603966,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2020_v6_qm.tif
2021,202,0.45,0.46188118811881196,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2021_v6_qm.tif
2022,202,0.45,0.458910891089109,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2022_v6_qm.tif
2023,202,0.25,0.41188118811881197,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2023_v6_qm.tif
2024,202,0.25,0.39455445544554457,d:\Cache\Yandex.Disk\РАЗРАБОТКА\code\rfactor-analysis\output\v6_imerg_calibrated\IMERG_V07_P30min_mmh_2024_v6_qm.tif
